iter	Passed	Remaining
0	117	58397
1	143	35694
2	167	27692
3	194	24155
4	220	21792
5	245	20188
6	271	19101
7	297	18280
8	322	17574
9	346	16993
10	371	16525
11	396	16108
12	421	15784
13	444	15444
14	470	15210
15	495	14976
16	519	14771
17	544	14593
18	569	14407
19	592	14218
20	615	14032
21	638	13875
22	662	13734
23	685	13601
24	708	13462
25	733	13363
26	756	13250
27	780	13155
28	804	13060
29	827	12964
30	851	12883
31	876	12814
32	900	12745
33	923	12660
34	949	12616
35	974	12564
36	997	12484
37	1021	12418
38	1046	12367
39	1071	12321
40	1097	12288
41	1124	12265
42	1148	12209
43	1172	12147
44	1194	12075
45	1219	12033
46	1243	11982
47	1268	11942
48	1291	11883
49	1315	11840
50	1342	11816
51	1365	11761
52	1388	11711
53	1414	11678
54	1439	11648
55	1461	11590
56	1486	11552
57	1511	11519
58	1535	11478
59	1559	11437
60	1582	11392
61	1606	11350
62	1630	11306
63	1653	11261
64	1678	11235
65	1704	11209
66	1728	11169
67	1751	11124
68	1773	11076
69	1796	11035
70	1820	10997
71	1845	10969
72	1869	10937
73	1896	10914
74	1921	10886
75	1945	10855
76	1970	10826
77	1994	10792
78	2021	10772
79	2048	10755
80	2072	10719
81	2099	10702
82	2123	10667
83	2150	10649
84	2175	10619
85	2200	10595
86	2224	10559
87	2249	10530
88	2274	10501
89	2298	10468
90	2320	10429
91	2344	10396
92	2367	10360
93	2392	10334
94	2415	10299
95	2442	10276
96	2466	10247
97	2491	10219
98	2514	10186
99	2537	10150
100	2561	10117
101	2584	10082
102	2607	10048
103	2631	10020
104	2656	9991
105	2680	9962
106	2703	9929
107	2726	9896
108	2749	9861
109	2772	9828
110	2795	9795
111	2819	9768
112	2845	9744
113	2870	9717
114	2896	9697
115	2923	9677
116	2949	9654
117	2972	9622
118	2995	9592
119	3020	9564
120	3045	9539
121	3068	9507
122	3093	9482
123	3119	9458
124	3144	9432
125	3168	9404
126	3190	9371
